"Support Chat","Support Chat"
"Login","Login"
"Create Account","Create Account"
"Email Address","Email Address"
"Password","Password"
"Message","Message"
"Begin Chat Now","Begin Chat Now"
"Name","Name"
"Start your chat here!!","Start your chat here!!"
"Hello","Hello"
"Loading..","Loading.."
"Mail us","Mail us"
"Support Agent","Support Agent"
"Email Transcript","Email Transcript"
"Report to Manager","Report to Manager"
"End Chat","End Chat"
"Report To Our Manager!!","Report To Our Manager!!"
"Send Report","Send Report"
"About","About"
"Wanna Appreciate? Contact Manager","Wanna Appreciate? Contact Manager"
"Need Your Feedback","Need Your Feedback"
"Your rating and comment really have an impact on our customer support system, so please take a minute to review our support agent and its quality.","Your rating and comment really have an impact on our customer support system, so please take a minute to review our support agent and its quality."
"Rate","Rate"
"Submit Comment..","Submit Comment.."
"Chat History","Chat History"
"Individual Chat History","Individual Chat History"
"Chat System","Chat System"
"Show Chat History","Show Chat History"
"Agent Details","Agent Details"
"Configuration","Configuration"
"Chat","Chat"
"Start Chat","Start Chat"